                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.68504,                0.67119,                 1.0409,                0.99716,                      1,                  0.995,                0.84969,                0.60821,                0.65605,                 1.0425,             0.00047876,             0.00047876,             0.00047876
                     74,                0.72475,                0.70878,                 1.0546,                0.99351,                      1,                  0.995,                0.85927,                0.60674,                0.64474,                 1.0383,             0.00046226,             0.00046226,             0.00046226
                     75,                0.69185,                0.64645,                 1.0285,                0.99454,                0.99882,                  0.995,                0.85331,                0.60944,                0.63302,                 1.0362,             0.00044576,             0.00044576,             0.00044576
                     76,                0.76641,                0.68886,                 1.1046,                0.99333,                0.99804,                  0.995,                0.86969,                 0.5817,                0.61907,                 1.0228,             0.00042925,             0.00042925,             0.00042925
                     77,                0.70216,                0.66687,                 1.0469,                0.99333,                0.99804,                  0.995,                0.86969,                 0.5817,                0.61907,                 1.0228,             0.00041275,             0.00041275,             0.00041275
                     78,                0.69039,                0.66168,                 1.0624,                0.99315,                0.99795,                  0.995,                0.86673,                0.55725,                0.61216,                 1.0122,             0.00039625,             0.00039625,             0.00039625
                     79,                0.63418,                0.63394,                 1.0083,                0.99474,                0.99616,                  0.995,                0.85051,                0.54981,                0.61165,                 1.0098,             0.00037974,             0.00037974,             0.00037974
                     80,                0.72566,                0.68076,                 1.0555,                 0.9929,                      1,                  0.995,                0.86019,                0.54404,                 0.6036,                 1.0016,             0.00036324,             0.00036324,             0.00036324
                     81,                0.70602,                0.64477,                 1.0346,                 0.9929,                      1,                  0.995,                0.86019,                0.54404,                 0.6036,                 1.0016,             0.00034674,             0.00034674,             0.00034674
                     82,                0.67223,                0.64433,                 1.0432,                0.99285,                      1,                  0.995,                0.86026,                0.55231,                0.60073,                 1.0024,             0.00033023,             0.00033023,             0.00033023
